Date,Predicted Price
2025-03-14,2605.6997744396663
2025-03-17,2602.0202084563302
2025-03-18,2599.7587295569706
2025-03-19,2600.5459150581605
2025-03-20,2603.7222583011144
2025-03-21,2606.8838517727913
2025-03-24,2607.7000483950724
2025-03-25,2605.6299367941933
2025-03-26,2602.274706345257
2025-03-27,2600.1415056749597
2025-03-28,2600.7714211099137
2025-03-31,2603.628311028163
2025-04-01,2606.548008470177
2025-04-02,2607.376202561601
2025-04-03,2605.5565472758385
2025-04-04,2602.4993831645475
2025-04-07,2600.4908602088585
2025-04-08,2600.9846400990496
2025-04-09,2603.5517219380017
2025-04-10,2606.2456011344534
2025-04-11,2607.0768010324414
2025-04-14,2605.4808210631513
2025-04-15,2602.697360138451
2025-04-16,2600.8094696976896
2025-04-17,2601.1858420184917
2025-04-18,2603.4902178667476
2025-04-21,2605.973555438555
2025-04-22,2606.800255797591
2025-04-23,2605.403788723978
2025-04-24,2602.87145862268
